,Company,Year,Quarter,Capital L1,Capital L2,Capital L3,Value
8,Antigonish Farmers' Mutual Insurance Company,2019,Q3,Capital Margin Required,Market Risk,Interest rate risk,94
9,Antigonish Farmers' Mutual Insurance Company,2019,Q3,Capital Margin Required,Market Risk,Foreign exchange risk,84
10,Antigonish Farmers' Mutual Insurance Company,2019,Q3,Capital Margin Required,Market Risk,Equity risk,"1,389"
11,Antigonish Farmers' Mutual Insurance Company,2019,Q3,Capital Margin Required,Market Risk,Real estate risk,194
12,Antigonish Farmers' Mutual Insurance Company,2019,Q3,Capital Margin Required,Market Risk,Other market risk exposures,13
13,Antigonish Farmers' Mutual Insurance Company,2019,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,186
14,Antigonish Farmers' Mutual Insurance Company,2019,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,0
15,Antigonish Farmers' Mutual Insurance Company,2019,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,0
16,Antigonish Farmers' Mutual Insurance Company,2019,Q3,Capital Margin Required,Operational Risk,Operational risk margin,443
17,Antigonish Farmers' Mutual Insurance Company,2019,Q3,Diversification Credit,Diversification Credit,Less: Diversification credit,338
18,Antigonish Farmers' Mutual Insurance Company,2019,Q3,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"2,005"
19,Antigonish Farmers' Mutual Insurance Company,2019,Q3,Capital Available,Total Capital Available,Other,0
0,Antigonish Farmers' Mutual Insurance Company,2019,Q2,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"14,978"
1,Antigonish Farmers' Mutual Insurance Company,2019,Q2,Capital Available,Total Capital Available,Other,0
2,Antigonish Farmers' Mutual Insurance Company,2019,Q2,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Antigonish Farmers' Mutual Insurance Company,2019,Q2,Capital Available,Total Capital Available,Other,0
4,Antigonish Farmers' Mutual Insurance Company,2019,Q2,Capital Margin Required,Insurance Risk,Premium liabilities,487
5,Antigonish Farmers' Mutual Insurance Company,2019,Q2,Capital Margin Required,Insurance Risk,Unpaid claims,360
6,Antigonish Farmers' Mutual Insurance Company,2019,Q2,Capital Margin Required,Insurance Risk,Catastrophes,0
7,Antigonish Farmers' Mutual Insurance Company,2019,Q2,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,0
8,Antigonish Farmers' Mutual Insurance Company,2019,Q2,Capital Margin Required,Market Risk,Interest rate risk,121
9,Antigonish Farmers' Mutual Insurance Company,2019,Q2,Capital Margin Required,Market Risk,Foreign exchange risk,83
10,Antigonish Farmers' Mutual Insurance Company,2019,Q2,Capital Margin Required,Market Risk,Equity risk,"1,403"
11,Antigonish Farmers' Mutual Insurance Company,2019,Q2,Capital Margin Required,Market Risk,Real estate risk,193
12,Antigonish Farmers' Mutual Insurance Company,2019,Q2,Capital Margin Required,Market Risk,Other market risk exposures,49
13,Antigonish Farmers' Mutual Insurance Company,2019,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,199
14,Antigonish Farmers' Mutual Insurance Company,2019,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,0
15,Antigonish Farmers' Mutual Insurance Company,2019,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,0
16,Antigonish Farmers' Mutual Insurance Company,2019,Q2,Capital Margin Required,Operational Risk,Operational risk margin,441
17,Antigonish Farmers' Mutual Insurance Company,2019,Q2,Diversification Credit,Diversification Credit,Less: Diversification credit,317
18,Antigonish Farmers' Mutual Insurance Company,2019,Q2,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"2,013"
19,Antigonish Farmers' Mutual Insurance Company,2019,Q2,Capital Available,Total Capital Available,Other,0
0,Antigonish Farmers' Mutual Insurance Company,2019,Q1,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"14,787"
1,Antigonish Farmers' Mutual Insurance Company,2019,Q1,Capital Available,Total Capital Available,Other,0
2,Antigonish Farmers' Mutual Insurance Company,2019,Q1,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Antigonish Farmers' Mutual Insurance Company,2019,Q1,Capital Available,Total Capital Available,Other,0
4,Antigonish Farmers' Mutual Insurance Company,2019,Q1,Capital Margin Required,Insurance Risk,Premium liabilities,492
5,Antigonish Farmers' Mutual Insurance Company,2019,Q1,Capital Margin Required,Insurance Risk,Unpaid claims,306
6,Antigonish Farmers' Mutual Insurance Company,2019,Q1,Capital Margin Required,Insurance Risk,Catastrophes,0
7,Antigonish Farmers' Mutual Insurance Company,2019,Q1,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,0
8,Antigonish Farmers' Mutual Insurance Company,2019,Q1,Capital Margin Required,Market Risk,Interest rate risk,151
9,Antigonish Farmers' Mutual Insurance Company,2019,Q1,Capital Margin Required,Market Risk,Foreign exchange risk,84
10,Antigonish Farmers' Mutual Insurance Company,2019,Q1,Capital Margin Required,Market Risk,Equity risk,"1,418"
11,Antigonish Farmers' Mutual Insurance Company,2019,Q1,Capital Margin Required,Market Risk,Real estate risk,192
12,Antigonish Farmers' Mutual Insurance Company,2019,Q1,Capital Margin Required,Market Risk,Other market risk exposures,25
13,Antigonish Farmers' Mutual Insurance Company,2019,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,203
14,Antigonish Farmers' Mutual Insurance Company,2019,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,0
15,Antigonish Farmers' Mutual Insurance Company,2019,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,0
16,Antigonish Farmers' Mutual Insurance Company,2019,Q1,Capital Margin Required,Operational Risk,Operational risk margin,437
17,Antigonish Farmers' Mutual Insurance Company,2019,Q1,Diversification Credit,Diversification Credit,Less: Diversification credit,304
18,Antigonish Farmers' Mutual Insurance Company,2019,Q1,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"2,003"
19,Antigonish Farmers' Mutual Insurance Company,2019,Q1,Capital Available,Total Capital Available,Other,0
0,Antigonish Farmers' Mutual Insurance Company,2018,Q4,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"15,128"
1,Antigonish Farmers' Mutual Insurance Company,2018,Q4,Capital Available,Total Capital Available,Other,0
2,Antigonish Farmers' Mutual Insurance Company,2018,Q4,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Antigonish Farmers' Mutual Insurance Company,2018,Q4,Capital Available,Total Capital Available,Other,0
4,Antigonish Farmers' Mutual Insurance Company,2018,Q4,Capital Margin Required,Insurance Risk,Premium liabilities,538
5,Antigonish Farmers' Mutual Insurance Company,2018,Q4,Capital Margin Required,Insurance Risk,Unpaid claims,173
6,Antigonish Farmers' Mutual Insurance Company,2018,Q4,Capital Margin Required,Insurance Risk,Catastrophes,0
7,Antigonish Farmers' Mutual Insurance Company,2018,Q4,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,0
8,Antigonish Farmers' Mutual Insurance Company,2018,Q4,Capital Margin Required,Market Risk,Interest rate risk,184
9,Antigonish Farmers' Mutual Insurance Company,2018,Q4,Capital Margin Required,Market Risk,Foreign exchange risk,77
10,Antigonish Farmers' Mutual Insurance Company,2018,Q4,Capital Margin Required,Market Risk,Equity risk,"1,392"
11,Antigonish Farmers' Mutual Insurance Company,2018,Q4,Capital Margin Required,Market Risk,Real estate risk,178
12,Antigonish Farmers' Mutual Insurance Company,2018,Q4,Capital Margin Required,Market Risk,Other market risk exposures,15
13,Antigonish Farmers' Mutual Insurance Company,2018,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,214
14,Antigonish Farmers' Mutual Insurance Company,2018,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,0
15,Antigonish Farmers' Mutual Insurance Company,2018,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,0
16,Antigonish Farmers' Mutual Insurance Company,2018,Q4,Capital Margin Required,Operational Risk,Operational risk margin,427
17,Antigonish Farmers' Mutual Insurance Company,2018,Q4,Diversification Credit,Diversification Credit,Less: Diversification credit,278
18,Antigonish Farmers' Mutual Insurance Company,2018,Q4,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"1,947"
19,Antigonish Farmers' Mutual Insurance Company,2018,Q4,Capital Available,Total Capital Available,Other,0
0,Antigonish Farmers' Mutual Insurance Company,2018,Q3,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"15,027"
1,Antigonish Farmers' Mutual Insurance Company,2018,Q3,Capital Available,Total Capital Available,Other,0
2,Antigonish Farmers' Mutual Insurance Company,2018,Q3,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Antigonish Farmers' Mutual Insurance Company,2018,Q3,Capital Available,Total Capital Available,Other,0
4,Antigonish Farmers' Mutual Insurance Company,2018,Q3,Capital Margin Required,Insurance Risk,Premium liabilities,459
5,Antigonish Farmers' Mutual Insurance Company,2018,Q3,Capital Margin Required,Insurance Risk,Unpaid claims,222
6,Antigonish Farmers' Mutual Insurance Company,2018,Q3,Capital Margin Required,Insurance Risk,Catastrophes,0
7,Antigonish Farmers' Mutual Insurance Company,2018,Q3,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,0
8,Antigonish Farmers' Mutual Insurance Company,2018,Q3,Capital Margin Required,Market Risk,Interest rate risk,201
9,Antigonish Farmers' Mutual Insurance Company,2018,Q3,Capital Margin Required,Market Risk,Foreign exchange risk,104
10,Antigonish Farmers' Mutual Insurance Company,2018,Q3,Capital Margin Required,Market Risk,Equity risk,"1,530"
11,Antigonish Farmers' Mutual Insurance Company,2018,Q3,Capital Margin Required,Market Risk,Real estate risk,136
12,Antigonish Farmers' Mutual Insurance Company,2018,Q3,Capital Margin Required,Market Risk,Other market risk exposures,27
13,Antigonish Farmers' Mutual Insurance Company,2018,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,217
14,Antigonish Farmers' Mutual Insurance Company,2018,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,0
15,Antigonish Farmers' Mutual Insurance Company,2018,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,0
16,Antigonish Farmers' Mutual Insurance Company,2018,Q3,Capital Margin Required,Operational Risk,Operational risk margin,435
17,Antigonish Farmers' Mutual Insurance Company,2018,Q3,Diversification Credit,Diversification Credit,Less: Diversification credit,273
18,Antigonish Farmers' Mutual Insurance Company,2018,Q3,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"2,039"
19,Antigonish Farmers' Mutual Insurance Company,2018,Q3,Capital Available,Total Capital Available,Other,0
0,Antigonish Farmers' Mutual Insurance Company,2018,Q2,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"14,403"
1,Antigonish Farmers' Mutual Insurance Company,2018,Q2,Capital Available,Total Capital Available,Other,0
2,Antigonish Farmers' Mutual Insurance Company,2018,Q2,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Antigonish Farmers' Mutual Insurance Company,2018,Q2,Capital Available,Total Capital Available,Other,0
4,Antigonish Farmers' Mutual Insurance Company,2018,Q2,Capital Margin Required,Insurance Risk,Premium liabilities,416
5,Antigonish Farmers' Mutual Insurance Company,2018,Q2,Capital Margin Required,Insurance Risk,Unpaid claims,304
6,Antigonish Farmers' Mutual Insurance Company,2018,Q2,Capital Margin Required,Insurance Risk,Catastrophes,0
7,Antigonish Farmers' Mutual Insurance Company,2018,Q2,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,0
8,Antigonish Farmers' Mutual Insurance Company,2018,Q2,Capital Margin Required,Market Risk,Interest rate risk,219
9,Antigonish Farmers' Mutual Insurance Company,2018,Q2,Capital Margin Required,Market Risk,Foreign exchange risk,97
10,Antigonish Farmers' Mutual Insurance Company,2018,Q2,Capital Margin Required,Market Risk,Equity risk,"1,482"
11,Antigonish Farmers' Mutual Insurance Company,2018,Q2,Capital Margin Required,Market Risk,Real estate risk,80
12,Antigonish Farmers' Mutual Insurance Company,2018,Q2,Capital Margin Required,Market Risk,Other market risk exposures,30
13,Antigonish Farmers' Mutual Insurance Company,2018,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,225
14,Antigonish Farmers' Mutual Insurance Company,2018,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,0
15,Antigonish Farmers' Mutual Insurance Company,2018,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,0
16,Antigonish Farmers' Mutual Insurance Company,2018,Q2,Capital Margin Required,Operational Risk,Operational risk margin,429
17,Antigonish Farmers' Mutual Insurance Company,2018,Q2,Diversification Credit,Diversification Credit,Less: Diversification credit,283
18,Antigonish Farmers' Mutual Insurance Company,2018,Q2,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"1,999"
